#,Quantity,PartType,Designator,Description,Footprint,MANUFACTURER,MANUFACTURER #,DISTRIBUTOR,DISTRIBUTOR #,
1,5,22pF,"C9, C10, C13, C14, C16",CAP CER 22PF 50V C0G/NP0 0402,0402_N2A-C,Murata Electronics North America,GJM1555C1H220JB01D,Digi-Key,490-14444-1-ND,
2,32,0.1uF,"C1, C2, C4, C6, C8, C15, C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C38, C39, C40, C42, C43, C46, C47, C49, C50",CAP CER .10UF 25V X5R 0402,0402_N2A-C,Taiyo Yuden,TMK105BJ104KV-F,Digi-Key,587-1456-1-ND,
3,11,10uF,"C3, C5, C7, C11, C12, C19, C36, C37, C41, C44, C45",CAP CER 10UF 6.3V X5R 0603,0603_N2A-C,Murata Electronics North America,GRM188R60J106ME47D,Digi-Key,490-3896-1-ND,
4,1,100uF,C18,CAP CER 100UF 6.3V X5R 1206,1206_N2A-C,Taiyo Yuden,JMK316BBJ107MLHT,Digi-Key,587-3716-1-ND,
5,6,0.0,"R12, R14, R16, R20, R22, R40",RES SMD 0 OHM Jumper 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-070RL,Digi-Key,311-0.0LRCT-ND,
6,2,39.0,"R4, R5",RES SMD 39 OHM 1% 1/10W 0402,0402_N2A-R,Panasonic Electronic Components,ERJ-2RKF39R0X,Digi-Key,P39.0LCT-ND,
7,1,374,R35,RES 374 OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW0402374RFKED,Digi-Key,541-374LCT-ND,
8,1,470,R44,RES SMD 470 OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-07470RL,Digi-Key,311-470LRCT-ND,
9,10,1.00K,"R11, R17, R23, R36, R37, R38, R45, R46, R47, R49",RES 1.0K OHM 1/10W 1% 0402 SMD,0402_N2A-R,Panasonic Electronic Components,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND,
10,1,2.20K,R48,RES 2.2K OHM 1/10W 1% 0402 SMD,0402_N2A-R,Panasonic Electronic Components,ERJ-2RKF2201X,Digi-Key,P2.20KLCT-ND,
11,1,6.80K,R6,RES SMD 6.8K OHM 1% 1/10W 0402,0402_N2A-R,Panasonic Electronic Components,ERJ-2RKF6801X,Digi-Key,P6.80KLCT-ND,
12,14,10.0K,"R2, R8, R27, R28, R29, R32, R34, R41, R42, R43, R50, R51, R52, R54",RES SMD 10K OHM 1% 1/10W 0402,0402_N2A-R,Panasonic Electronic Components,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND,
13,5,100K,"R1, R9, R10, R33, R53",RES SMD 100K OHM 1% 1/10W 0402,0402_N2A-R,Panasonic Electronic Components,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,
14,2,1.0M,"R7, R39",RES SMD 1M OHM 5% 1/16W 0402,0402_N2A-R,Yageo,RC0402JR-071ML,Digi-Key,311-1.0MJRCT-ND,
15,5,30R,"FB1, FB2, FB3, FB4, FB5",FERRITE BEAD 30 OHM 0402 1LN,0402_N2A-FB,Samsung Electro-Mechanics,CIC05P300NC,Digi-Key,1276-6392-1-ND,
16,1,0.5A,F1,PTC RESETTABLE 8V 500MA 1206,1206_N2A-F,Bel Fuse Inc.,0ZCJ0050FF2G,Digi-Key,507-1802-2-ND,
